feature,mi_stage,mi_q,spearman_abs_q,domain_instability_train_conditions,feature_score
ch3_wp_energy_ratio_8__rel,1.0188679421124098,2.2149170961767157,0.9371705644033272,0.0,2.4114195304073314
ch3_wp_energy_ratio_6__rel,0.8413104173849377,1.6629095292501956,0.9256407820704541,0.0,2.01656222449975
ch1_q25__rel,0.6983439700179097,2.0841920058204275,0.7985404276305871,0.0,1.9368428042536734
ch1_q25__online_rank,0.8419604996021639,1.411182967731778,0.8145338743041409,0.0,1.8680642191357804
ch5_wp_energy_8__rel,0.7454110835592631,2.183035516649272,0.5004730717592675,0.0,1.8592748122100318
ch3_skew__rel,0.7085705725717435,1.662201801161082,0.8770444407718951,0.0,1.843572702659839
ch3_band_ratio_q4_q1__rel,0.723439493125539,1.7018510538277867,0.7847449096721024,0.0,1.8230410115974747
ch1_wp_energy_8__rel,0.7018165739333635,1.4424992652448778,0.9148660528695135,0.0,1.7800493032406397
ch6_wp_energy_8__rel,0.6903153466113514,2.1837684556700117,0.4610677880582949,0.0,1.7772531241890528
ch3_wp_energy_8__rel,0.7623101122481843,1.3198389574681144,0.8331858609976943,0.0,1.7587369821355747
ch3_wp_energy_ratio_3__rel,0.6887138732289908,1.5903033034019058,0.7868091569396887,0.0,1.7469364530593858
ch2_q25__rel,0.6771006950314566,1.5653438453931279,0.778176081877911,0.0,1.7206779554550482
ch4_wp_energy_8__rel,0.6578230305648713,2.341737144282087,0.30195805957023314,0.0,1.7092902668837173
ch1_wp_energy_2__rel,0.6778671919241706,1.446582660522123,0.8217519248904213,0.0,1.7039214009890624
ch2_kurtosis__online_rank,0.707475844925405,1.2045834369964354,0.9045703955074756,0.0,1.6973413498958099
ch2_kurtosis__rel,0.6279172610306023,1.5598813635235427,0.8132613706691155,0.0,1.683961218234916
ch2_std__rel,0.564453478301294,1.661392018234639,0.8288262983074179,0.0,1.6582404965826272
ch3_wp_energy_ratio_5__rel,0.6652626498606711,1.2385063503477682,0.8554607927344291,0.0,1.635769573472393
ch2_total_power__rel,0.5809867610761557,1.5884547208003292,0.8008949026474355,0.0,1.6355367859199759
ch1_spec_entropy__rel,0.8481536917853614,1.994614063218596,0.0004959417925846491,0.0,1.6313567510763278
ch1_rms_freq__rel,0.6353289464681093,2.0013410900284594,0.41761103254051835,0.0,1.6290172905221663
ch2_band_power_q1__rel,0.5743009505117878,1.5773109533083267,0.8009118053886235,0.0,1.624291372184624
ch3_wp_energy_ratio_4__rel,0.6313164093115244,1.3258961344579498,0.8450193164421386,0.0,1.6232723213461357
ch2_iqr__rel,0.5950154003958017,1.568219794950613,0.7585506548223974,0.0,1.6205967288204148
ch3_wp_energy_ratio_7__rel,0.6163085051534467,1.5008888856217073,0.7582878940275655,0.0,1.62030880735155
ch2_var__rel,0.5678660609914901,1.5748047299989514,0.8019401835286307,0.0,1.616901423531019
ch6_wp_energy_ratio_1__rel,0.6329786165113602,1.3656086267965373,0.8027722593789315,0.0,1.6157642401996966
ch3_wp_energy_ratio_6__online_rank,0.6734162025903807,1.1769201153564453,0.8376089115634485,0.0,1.6133647645840714
ch5_q25__rel,0.60357012638445,1.353748419989516,0.8311855752393766,0.0,1.5948911524008826
ch1_band_ratio_q4_q1__online_rank,0.8130840071520116,1.7090563945656863,0.17848594551867933,0.0,1.5907294160004766
ch1_shape_factor__rel,0.7879543769031143,2.0371632658162953,0.011398786088666152,0.0,1.5860262899778954
ch6_wp_energy_max_ratio__rel,0.631336307969373,1.2894695567000292,0.7999683251077654,0.0,1.5857668624205916
ch6_wp_energy_7__rel,0.6257853465902894,1.5577836779718761,0.6363935838736066,0.0,1.5836046396699586
ch1_band_ratio_q4_q1__rel,0.7693476986054306,2.1024675675406854,0.0018875367915295689,0.0,1.5831842623405548
ch4_q25__rel,0.6137864594334264,1.3427031493559936,0.7956723397735485,0.0,1.5827309945268184
ch2_q25__online_rank,0.6302939993931227,1.2678550945846156,0.8075590640527065,0.0,1.5812301676660392
ch4_wp_energy_1__rel,0.5615275141907303,1.5411011583419802,0.7600701728398787,0.0,1.5751042660914298
ch3_wp_energy_2__rel,0.6466645996085345,1.2455837819895343,0.7710018286266216,0.0,1.5713363890103669
ch5_std__rel,0.5746526045461566,1.428907669957121,0.7915524886855746,0.0,1.567589418262831
ch5_total_power__rel,0.5769467492696976,1.4264104155679407,0.7883015921559484,0.0,1.5674509453312182
ch5_q75__rel,0.5965488222771294,1.3456368748684375,0.800331580344669,0.0,1.5673589798983634
ch1_min__rel,0.7241335744682627,1.2693548130295418,0.5852084341008199,0.0,1.5626857552308795
ch3_wp_energy_ratio_8__online_rank,0.6313708060936549,1.5077431681950015,0.6133479263143875,0.0,1.559559355044184
ch1_wp_energy_4__rel,0.5768337398964447,1.4135224274021838,0.7773595642325674,0.0,1.5567977238047657
ch4_wp_energy_ratio_8__rel,0.6922076016106959,2.0630357042484366,0.13269689046253882,0.0,1.5564741480131148
ch5_var__rel,0.571492901443851,1.4079952105016709,0.7888976058594301,0.0,1.5553341984865074
ch6_wp_energy_ratio_1__online_rank,0.6222774409132505,1.186214577275194,0.826225112612665,0.0,1.5541040989878592
ch1_rms__rel,0.5458231693964806,1.5481899065262668,0.739562345863709,0.0,1.5490312438453617
ch3_skew__online_rank,0.5931085009299204,1.167537743140683,0.8863282608075751,0.0,1.548538104566318
ch5_rms__rel,0.5508505589606576,1.4475573527614598,0.7881289152885844,0.0,1.5460515917319557
ch1_min__online_rank,0.7175148074660718,0.9552351346669945,0.7652260176259186,0.0,1.5444728950403823
ch4_q75__rel,0.5797528441627855,1.336880801829992,0.7969327464516819,0.0,1.5439494197679866
ch4_wp_energy_7__rel,0.6041581866136523,1.5025909325546905,0.6388333409028126,0.0,1.5418391691657063
ch6_wp_energy_max_ratio__online_rank,0.6129336086087556,1.1641119100635589,0.8270441502093698,0.0,1.5365404206070303
ch3_wp_energy_3__rel,0.5940088754605723,1.3381789078564523,0.7472427209676167,0.0,1.5327558772885772
ch1_wp_energy_5__rel,0.6124218545102551,1.1907720038079233,0.7938157273153287,0.0,1.5270328913174844
ch5_band_power_q1__rel,0.5606506947797967,1.4426532056320873,0.7364005728785286,0.0,1.5266647013121977
ch2_wp_energy_2__rel,0.6589860615699212,1.1208386041680853,0.7405870745482322,0.0,1.524501070187271
ch2_spec_entropy__rel,0.5765307865610318,1.653163032550819,0.5617307186672745,0.0,1.5217428218769227
ch1_spec_entropy__online_rank,0.7044219737917878,2.052917166812008,0.04459856214713919,0.0,1.517914388736096
ch6_wp_energy_ratio_8__rel,0.6094916159692818,2.1052657638177927,0.19252663989336755,0.0,1.5131734468437894
ch1_var__rel,0.5583386193908166,1.548777546265153,0.6441177524433195,0.0,1.5105093863665275
ch1_wp_energy_1__rel,0.525772556478745,1.4883941050964133,0.7401750702317744,0.0,1.5063840375378403
ch1_skew__online_rank,0.6821944073137061,1.723335430312812,0.2762344927920237,0.0,1.505510219690174
ch4_rms__rel,0.6039954608638889,1.2484271547703552,0.7325815137530597,0.0,1.5042643436840848
ch1_mean_abs__rel,0.5064500000776713,1.495115043822846,0.7693710982551871,0.0,1.5035393694637875
ch1_wp_energy_ratio_8__rel,0.5820660507489304,1.737237417662556,0.46133227754256645,0.0,1.5020385046541294
ch5_mean_abs__rel,0.5142990742210927,1.4283947637473884,0.7831114902282064,0.0,1.4963784685803014
ch2_skew__rel,0.5517446335344556,1.3451528102994383,0.7582709912863774,0.0,1.4947716257002122
ch1_shape_factor__online_rank,0.6718125154684937,1.8348349185370414,0.19957383109620913,0.0,1.4909515956062225
ch1_dom_power__slope,0.7390830748883881,1.0857785207485144,0.5408725439646622,0.0,1.4904937638197713
ch1_band_power_q1__rel,0.5389697332384316,1.5579194239942935,0.6392539886664688,0.0,1.4897281987268354
ch1_total_power__rel,0.5370624518073408,1.5583011406039207,0.6392624400370628,0.0,1.4877684382198317
ch4_std__rel,0.5959280952659964,1.2210820864672547,0.7338997354891202,0.0,1.4865444895751514
ch6_std__rel,0.5968308178700719,1.2469005153522232,0.7139210795580979,0.0,1.4855856737873112
ch3_band_power_q4__rel,0.6047030057218554,1.1045473723993657,0.7887235844558355,0.0,1.4855628580845286
ch2_min__rel,0.6546295487992826,0.958966362160417,0.7774300563463856,0.0,1.483317261425869
ch6_rms__rel,0.5947772285878334,1.2200217956183073,0.712854286097209,0.0,1.4733324372664893
ch5_wp_energy_1__rel,0.526736822631624,1.3934540805938629,0.7359303693509347,0.0,1.4718811362456528
ch4_var__rel,0.5722691803621327,1.2341815030914418,0.7433479836600105,0.0,1.4703010154933565
ch4_iqr__rel,0.593930067236903,1.1600221440063914,0.746118304525405,0.0,1.469695891851803
ch5_wp_energy_3__rel,0.6270754702231631,1.027537175728349,0.7574671506969249,0.0,1.4660279616337104
ch2_band_power_q4__rel,0.6869718979114425,1.2786037951411942,0.4630277377296868,0.0,1.4578456717533326
ch4_wp_energy_3__rel,0.5920896563411784,1.1177667836782046,0.7468151584462017,0.0,1.453265333408079
ch2_skew__online_rank,0.5326633887926004,1.1431807020327418,0.8490048959081181,0.0,1.4529956661327852
ch4_total_power__rel,0.553999654979473,1.2203971344593127,0.7430819575629037,0.0,1.445233694197777
ch1_spec_centroid__online_rank,0.5337146554009633,1.6665853483112443,0.494703238294299,0.0,1.4424777739118597
ch1_dom_power__rel,0.5177638067633987,1.5195462691547594,0.6133013661851104,0.0,1.4386971330457152
