epoch,train_loss,val_loss,val_acc,val_f1,val_middle_recall,val_middle_to_early_rate,val_middle_to_late_rate,val_ratio_penalty,val_q_RMSE,score
1,1.4555494968707745,1.3450039625167847,0.5666666666666667,0.5353535353535354,0.0,0.9999999999999616,0.0,0.8666666666666667,0.1975224913272974,3.2541509629118974
2,1.1996639416768,0.9725012481212616,0.75,0.773955773955774,0.4230769230769231,0.5769230769230548,0.0,0.5,0.15694784367865353,1.8439722563184027
3,0.8665695190429688,0.6091865301132202,1.0,1.0,1.0,0.0,0.0,0.0,0.12036972322246414,0.02407394464449283
4,0.580772191286087,0.3930499255657196,1.0,1.0,1.0,0.0,0.0,0.0,0.0934709518528118,0.01869419037056236
5,0.4289526687218593,0.33574241399765015,1.0,1.0,1.0,0.0,0.0,0.0,0.08154733220036481,0.016309466440072962
6,0.3509828975567451,0.3177507519721985,1.0,1.0,1.0,0.0,0.0,0.0,0.08220122876841697,0.016440245753683396
7,0.3230888774761787,0.3006187304854393,1.0,1.0,1.0,0.0,0.0,0.0,0.08389197720257079,0.016778395440514158
8,0.34658941626548767,0.30858900398015976,1.0,1.0,1.0,0.0,0.0,0.0,0.08604745053219091,0.017209490106438182
9,0.29384824060476744,0.3013877719640732,1.0,1.0,1.0,0.0,0.0,0.0,0.09034275794687033,0.018068551589374066
10,0.2905816057553658,0.2901134416460991,1.0,1.0,1.0,0.0,0.0,0.0,0.09049753162690422,0.018099506325380845
11,0.2965525950376804,0.29003217816352844,1.0,1.0,1.0,0.0,0.0,0.0,0.08927344302278868,0.017854688604557738
12,0.2737601433808987,0.2882576063275337,1.0,1.0,1.0,0.0,0.0,0.0,0.08992404052300416,0.017984808104600833
13,0.2611275567458226,0.2742558941245079,1.0,1.0,1.0,0.0,0.0,0.0,0.09062434757815367,0.018124869515630734
14,0.2533556647025622,0.2775684669613838,1.0,1.0,1.0,0.0,0.0,0.0,0.09248996642463618,0.018497993284927235
15,0.2588703494805556,0.27129146456718445,1.0,1.0,1.0,0.0,0.0,0.0,0.09110833037810581,0.018221666075621163
16,0.24990991216439468,0.2667158991098404,1.0,1.0,1.0,0.0,0.0,0.0,0.0912247578641693,0.01824495157283386
17,0.2395272690516252,0.2620508521795273,1.0,1.0,1.0,0.0,0.0,0.0,0.09284987853838564,0.018569975707677128
18,0.22492124484135553,0.2651698738336563,1.0,1.0,1.0,0.0,0.0,0.0,0.09341006283252996,0.018682012566505993
19,0.2216916817885179,0.2679225653409958,1.0,1.0,1.0,0.0,0.0,0.0,0.09655214085458765,0.01931042817091753
20,0.22514803478351006,0.25845739990472794,1.0,1.0,1.0,0.0,0.0,0.0,0.09416450334496686,0.018832900668993374
21,0.2285452657021009,0.2569967359304428,1.0,1.0,1.0,0.0,0.0,0.0,0.09603008940859169,0.01920601788171834
22,0.22143529814023238,0.25911208242177963,1.0,1.0,1.0,0.0,0.0,0.0,0.09619774209076261,0.01923954841815252
23,0.21839583263947412,0.25723057985305786,1.0,1.0,1.0,0.0,0.0,0.0,0.09823534676925624,0.01964706935385125
