epoch,train_loss,val_loss,val_acc,val_macro_f1,val_middle_recall,val_q_RMSE,score
1,1.4034541753622203,1.2608332633972168,0.5666666666666667,0.5353535353535354,0.0,0.18257243614713173,3.0344942852091976
2,1.1212760255886958,0.9711834490299225,0.5666666666666667,0.5353535353535354,0.0,0.12146918785412769,3.022273635550597
3,0.9149971375098596,0.8115984201431274,0.5833333333333334,0.5631528964862298,0.038461538461538464,0.10786592756976139,2.8943177249251324
4,0.7364277518712558,0.5837912857532501,1.0,1.0,1.0,0.08256973821189356,0.016513947642378714
5,0.5578087453658764,0.41341495513916016,1.0,1.0,1.0,0.07237862755524535,0.014475725511049071
6,0.3968280783066383,0.34228789806365967,1.0,1.0,1.0,0.0758931625012221,0.015178632500244421
7,0.3498208706195538,0.33860404789447784,1.0,1.0,1.0,0.08510108469901868,0.017020216939803736
8,0.3315160274505615,0.31732461601495743,1.0,1.0,1.0,0.09036550537391531,0.018073101074783063
9,0.2938872816470953,0.3061043545603752,1.0,1.0,1.0,0.08667084575021336,0.017334169150042673
10,0.2545486230116624,0.2849395424127579,1.0,1.0,1.0,0.08479092193185804,0.01695818438637161
11,0.2507142848693408,0.26180701702833176,1.0,1.0,1.0,0.08662020426331275,0.01732404085266255
12,0.24765069209612334,0.26566963642835617,1.0,1.0,1.0,0.08779316349953764,0.01755863269990753
13,0.23522534851844495,0.2689311280846596,1.0,1.0,1.0,0.08585872002080762,0.017171744004161524
14,0.23069287607303032,0.26150962710380554,1.0,1.0,1.0,0.08906830352386919,0.01781366070477384
15,0.19969645601052505,0.26641274243593216,1.0,1.0,1.0,0.08872250439084678,0.017744500878169357
16,0.19775533561523145,0.2502491995692253,1.0,1.0,1.0,0.09026897088936957,0.018053794177873915
17,0.20103024175533882,0.25369005650281906,1.0,1.0,1.0,0.08746991549805114,0.017493983099610227
18,0.19269481874429262,0.24633613973855972,1.0,1.0,1.0,0.09284631346675039,0.01856926269335008
19,0.19022805988788605,0.24728761613368988,1.0,1.0,1.0,0.09198164683971599,0.0183963293679432
20,0.19136068339531237,0.2524276003241539,1.0,1.0,1.0,0.0925337963455727,0.01850675926911454
21,0.18068249982136947,0.25310707092285156,1.0,1.0,1.0,0.0953404295193431,0.01906808590386862
22,0.18400719532599816,0.24866193160414696,1.0,1.0,1.0,0.09359941125495348,0.018719882250990697
23,0.17880994081497192,0.24353622272610664,1.0,1.0,1.0,0.09188711905515765,0.01837742381103153
