epoch,train_loss,val_loss,mono_valid_pairs,mono_violations,mono_violation_rate,mono_loss
0,1.3128333120128526,1.0499329553578947,2886,1432,0.4961884961884962,0.010229991886862239
1,0.614540495800716,1.5035854067198515,2886,1434,0.4968814968814969,0.031815823478732325
2,0.4953966079137942,1.6475074357694328,2886,1430,0.4954954954954955,0.033180352485357854
3,0.4426600726084526,1.6958656832551209,2886,1459,0.5055440055440056,0.030384318784681574
4,0.36229865205046496,1.5630292678885038,2886,1437,0.4979209979209979,0.029464446628670572
5,0.3046535605127951,1.7006553616964877,2886,1410,0.4885654885654886,0.027633593419266203
6,0.2816124065472666,1.8019330924757981,2886,1434,0.4968814968814969,0.026169520928076114
7,0.2914922231757068,1.8710004421645658,2886,1436,0.49757449757449757,0.024203241422537467
8,0.2891426499747427,2.0373108179769526,2886,1429,0.49514899514899513,0.021774723608495406
9,0.2738882110087674,2.1530139777083996,2886,1425,0.49376299376299376,0.02150683105554268
10,0.23816942971253488,2.199708503143241,2886,1435,0.4972279972279972,0.02006555819076026
11,0.2878074078126762,2.0807199432720545,2886,1400,0.4851004851004851,0.01775843583369807
12,0.25286612806170655,2.283844160233861,2886,1394,0.483021483021483,0.016869497385797027
13,0.23138517160227923,2.4091686308766613,2886,1424,0.4934164934164934,0.017294442024942975
14,0.23322438832287448,2.401467804184718,2886,1417,0.49099099099099097,0.01595149923232189
15,0.24793264356775147,2.479472264821761,2886,1417,0.49099099099099097,0.015393657243664694
16,0.20777060395729638,2.269443277274827,2886,1431,0.49584199584199584,0.015333588001078025
17,0.21601799726231585,2.737125377443069,2886,1401,0.48544698544698545,0.0146368938088617
18,0.21415941145545056,2.6091583978696713,2886,1438,0.4982674982674983,0.014941239324627967
