split,n_runs,n_windows,tools,stage_early,stage_middle,stage_late,S0,S1,S2,S3,S4,q_min,q_max,VB_min,VB_max
train,3025,2981,"T5,T6,T7,T8",916,1188,921,115,691,795,934,490,0.0,0.9999999999999933,3.0,153.0
val,1537,1515,"T4,T9",465,601,471,85,316,418,410,308,0.0,0.9999999999999936,3.0,160.0
test,1856,1823,"T1,T2,T3",566,769,521,124,427,466,456,383,0.0,0.9999999999999936,3.0,158.0
