Metric,Mean,Std,Min,Max,N
Acc,0.6490131578947369,0.07598375667769418,0.4835526315789473,0.7598684210526315,10
Macro-F1,0.6492954275971614,0.08065680312151079,0.4737350038444929,0.7658916587474766,10
E-F1,0.663804444662328,0.13869876591194905,0.4087591240875912,0.8058252427184466,10
M-F1,0.6356684877831299,0.04771384814272687,0.5541125541125541,0.7020408163265306,10
L-F1,0.6484133503460269,0.10225704142973122,0.4583333333333333,0.7898089171974523,10
M-Precision,0.5396931346162424,0.04865284189448712,0.4510869565217391,0.6417910447761194,10
M-Recall,0.781981981981982,0.09046967081798461,0.5765765765765766,0.90990990990991,10
M_to_E,0.047747747747747295,0.05439498754964773,0.0,0.1621621621621607,10
M_to_L,0.1702702702702687,0.10328322313395095,0.0630630630630625,0.4054054054054017,10
Rev,46.7,10.87351522431147,35.0,73.0,10
Jump,4.0,5.715476066494082,0.0,19.0,10
Smooth,0.5790885478258133,0.09699243139967208,0.4417449235916137,0.7770333290100098,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
