epoch,train_loss,val_loss,mono_valid_pairs,mono_violations,mono_violation_rate,mono_loss
0,1.389808323461685,1.4119649597090118,2268,1149,0.5066137566137566,0.0069753160792420015
1,0.9694281109774464,1.7437701213603116,2268,1123,0.49514991181657847,0.026595989223911473
2,0.8018971000580619,2.2657366074347984,2268,1128,0.4973544973544973,0.030436637349875117
3,0.642705042164803,2.779175391099891,2268,1121,0.49426807760141095,0.03268343811545472
4,0.5183427377969243,3.0580856267286807,2268,1109,0.48897707231040566,0.03620968707386012
5,0.47773793879045773,3.340738728095074,2268,1147,0.5057319223985891,0.034490537869843775
6,0.38825029249227916,3.7852116431508747,2268,1137,0.5013227513227513,0.03516122969396085
7,0.3500755104215238,4.084296208936341,2268,1094,0.48236331569664903,0.03166210725808113
8,0.32264615854823175,3.1079952123700356,2268,1119,0.4933862433862434,0.031814916802683904
9,0.3240325172716768,3.9427308973000974,2268,1114,0.4911816578483245,0.029716603513576512
10,0.26923665665392177,3.354869078227452,2268,1114,0.4911816578483245,0.02791476119158617
11,0.24869587326464468,3.6734062167819665,2268,1093,0.48192239858906527,0.02556094467143854
12,0.2962921306179265,3.4646622644638527,2268,1134,0.5,0.02456856105433689
13,0.2652132502688247,3.856702675235515,2268,1130,0.4982363315696649,0.022077874589363226
14,0.22649297641921745,4.077893422379786,2268,1120,0.49382716049382713,0.01954043873776954
15,0.22349839762562343,4.620921609304389,2268,1102,0.4858906525573192,0.01858403310942894
16,0.27434617029029973,4.377817352620923,2268,1098,0.48412698412698413,0.01671465550681693
17,0.26796223442783684,3.7185390827607137,2268,1102,0.4858906525573192,0.01715573001330193
18,0.21500767291950024,3.9713175567802117,2268,1135,0.5004409171075838,0.015512184575804267
