raw_component,fine_state,mean_q_train,macro_stage
2,0,0.12415364729643481,early
4,1,0.18506005684503304,middle
0,2,0.35793825909833943,middle
3,3,0.6382352716250856,middle
1,4,0.9340437276514797,late
