split,n_runs,n_windows,tools,stage_early,stage_middle,stage_late,S0,S1,S2,S3,S4,q_min,q_max,VB_min,VB_max
train,2387,2343,"T1,T2,T7,T8",725,926,736,92,58,1091,949,197,0.0,0.9999999999999936,3.0,158.0
val,1247,1225,"T3,T9",375,500,372,54,26,608,459,100,0.0,0.9999999999999936,3.0,160.0
test,2784,2751,"T4,T5,T6",847,1132,805,82,51,1112,1344,195,0.0,0.9999999999999931,3.0,149.0
