raw_component,fine_state,mean_q_train,macro_stage
2,0,0.1438273619299847,early
0,1,0.27482009622354403,middle
4,2,0.4114267217549831,middle
1,3,0.6049361043343808,middle
3,4,0.8708717835183245,late
