split,n_runs,n_windows,tools,stage_early,stage_middle,stage_late,S0,S1,S2,S3,S4,q_min,q_max,VB_min,VB_max
train,3025,2981,"T4,T5,T7,T8",919,1173,933,141,449,984,936,515,0.0,0.9999999999999933,3.0,153.0
val,1537,1515,"T6,T9",462,616,459,71,164,586,450,266,0.0,0.9999999999999936,3.0,160.0
test,1856,1823,"T1,T2,T3",566,769,521,128,218,638,501,371,0.0,0.9999999999999936,3.0,158.0
