split,n_runs,n_windows,tools,stage_early,stage_middle,stage_late,S0,S1,S2,S3,S4,q_min,q_max,VB_min,VB_max
train,3074,3030,"T1,T2,T4,T5",942,1251,881,212,906,1153,470,333,0.0,0.9999999999999936,3.0,158.0
val,1566,1544,"T3,T6",471,650,445,79,526,542,252,167,0.0,0.9999999999999932,3.0,152.0
test,1778,1745,"T7,T8,T9",534,657,587,239,609,339,413,178,0.0,0.9999999999999936,3.0,160.0
