Metric,Mean,Std,Min,Max,N
Acc,0.5027348524326116,0.07082546442269139,0.42758373205741623,0.691866028708134,101
Macro-F1,0.2687026842824882,0.06350917149696869,0.1985648148148148,0.4221859175575865,101
E-F1,0.0,0.0,0.0,0.0,101
M-F1,0.5424219656179552,0.08019622233933867,0.3131016042780748,0.6508459595959596,101
L-F1,0.26368608722950937,0.2305041189181159,0.0,0.7743547570850203,101
M-Precision,0.4793682715066218,0.10670996692918151,0.30194805194805197,0.8833333333333333,101
M-Recall,0.8080933093309332,0.19674021978359932,0.2409090909090909,1.0,101
M_to_E,0.0,0.0,0.0,0.0,101
M_to_L,0.19190669066904614,0.1967402197835787,0.0,0.7590909090908287,101
Rev,0.5495049504950495,0.5701094214931441,0.0,2.0,101
Jump,0.0,0.0,0.0,0.0,101
Smooth,0.09714655075247586,0.04660676213531772,0.04403274039609979,0.2520472700097043,101
q-MAE,0.2418621177988873,0.012821402288822342,0.21136304798316324,0.2754989564261632,101
q-RMSE,0.285439789036243,0.016041952437680383,0.24847303501005727,0.32716986574896006,101
q-R2,-0.14600205988867182,0.12511863377648638,-0.48570307315199135,0.13150056460355797,101
Spearman,0.20650824890872918,0.20082593161078208,-0.3458418069344843,0.6421041277563018,101
