eta,fine_weight,temperature,mid_floor,late_tau,early_tau,order_blend,val_Acc,val_Macro_F1,val_E_F1,val_M_F1,val_L_F1,val_M_Pre,val_M_Rec,val_M_to_E,val_M_to_L,val_n_middle_true,val_Rev,val_Jump,val_Smooth,val_q_MAE,val_q_RMSE,val_q_R2,val_Spearman,val_Pearson,val_q_Smooth,val_score
0.55,0.3,1.0,0.12,0.72,0.42,0.25,0.6405440414507773,0.5172082166719089,0.8798328108672936,0.6717918391484329,0.0,0.5445829338446788,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013280462384446705,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.1218900632270286
0.55,0.3,1.0,0.08,0.66,0.42,0.25,0.6405440414507773,0.5172082166719089,0.8798328108672936,0.6717918391484329,0.0,0.5445829338446788,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013435488897964911,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.1218900632270286
0.55,0.3,1.0,0.08,0.72,0.42,0.25,0.6405440414507773,0.5172082166719089,0.8798328108672936,0.6717918391484329,0.0,0.5445829338446788,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013280462384446705,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.1218900632270286
0.55,0.3,1.0,0.04,0.66,0.42,0.25,0.6405440414507773,0.5172082166719089,0.8798328108672936,0.6717918391484329,0.0,0.5445829338446788,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013435488897964911,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.1218900632270286
0.55,0.3,1.0,0.04,0.72,0.42,0.25,0.6405440414507773,0.5172082166719089,0.8798328108672936,0.6717918391484329,0.0,0.5445829338446788,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013280462384446705,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.1218900632270286
0.55,0.3,1.0,0.08,0.6,0.42,0.25,0.6405440414507773,0.5172082166719089,0.8798328108672936,0.6717918391484329,0.0,0.5445829338446788,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013683437371053528,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.1218900632270286
0.55,0.3,1.0,0.12,0.6,0.42,0.25,0.6405440414507773,0.5172082166719089,0.8798328108672936,0.6717918391484329,0.0,0.5445829338446788,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013683437371053528,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.1218900632270286
0.55,0.3,1.0,0.12,0.66,0.42,0.25,0.6405440414507773,0.5172082166719089,0.8798328108672936,0.6717918391484329,0.0,0.5445829338446788,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013435488897964911,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.1218900632270286
0.55,0.3,1.0,0.04,0.6,0.42,0.25,0.6405440414507773,0.5172082166719089,0.8798328108672936,0.6717918391484329,0.0,0.5445829338446788,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013683437371053528,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.1218900632270286
0.55,0.2,1.0,0.12,0.6,0.42,0.25,0.6392487046632125,0.5161617129974673,0.8774869109947644,0.6709982279976373,0.0,0.5435406698564593,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013998074647473316,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.124231903689035
0.55,0.2,1.0,0.08,0.6,0.42,0.25,0.6392487046632125,0.5161617129974673,0.8774869109947644,0.6709982279976373,0.0,0.5435406698564593,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013998074647473316,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.124231903689035
0.55,0.2,1.0,0.04,0.6,0.42,0.25,0.6392487046632125,0.5161617129974673,0.8774869109947644,0.6709982279976373,0.0,0.5435406698564593,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013998074647473316,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.124231903689035
0.55,0.2,1.0,0.04,0.66,0.42,0.25,0.6386010362694301,0.5156374658947557,0.8763102725366876,0.6706021251475797,0.0,0.5430210325047801,0.8765432098765432,0.12345679012345678,0.0,648,1,0,0.013672121912721673,0.10162463471846905,0.13588708060303653,0.5273626328265045,0.7214040697545379,0.7676100778917005,0.003267695641703179,1.125403819185529
