Dataset,Method,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
NASA_Milling,B4_HTT_Net,3,0.48978468899521527,0.3196801608214651,0.0,0.5112428634167765,0.44779761904761906,0.44901315789473684,0.6681818181818181,0.0249999999999975,0.3068181818181528,2.25,0.0,0.2665356360375881,,,,
NASA_Milling,B4_HTT_Net,13,0.5656698564593301,0.35846102183563483,0.0,0.49718045112781956,0.578202614379085,0.5613095238095238,0.5818181818181818,0.0,0.41818181818177924,1.75,0.0,0.198217861354351,,,,
NASA_Milling,B4_HTT_Net,23,0.5311483253588517,0.3012845631380114,0.0,0.39153605015673976,0.5123176392572945,0.3996710526315789,0.5431818181818182,0.0,0.4568181818181401,1.5,0.0,0.2665257193148136,,,,
NASA_Milling,B4_HTT_Net,33,0.5097846889952153,0.32646662977545327,0.0,0.44151069518716574,0.5378891941391941,0.4519917582417582,0.5318181818181817,0.0,0.4681818181817743,2.0,0.0,0.3300787918269634,,,,
NASA_Milling,B4_HTT_Net,43,0.5179904306220096,0.3355926279839323,0.0,0.5571747093486223,0.4496031746031746,0.4715686274509804,0.7454545454545454,0.02272727272727065,0.23181818181816027,1.0,0.25,0.23818210884928695,,,,
NASA_Milling,B4_HTT_Net,53,0.521578947368421,0.33430220894723933,0.0,0.43764052039914103,0.565266106442577,0.46111111111111114,0.5704545454545455,0.149999999999985,0.27954545454542845,1.5,0.25,0.25999864190816874,,,,
NASA_Milling,B4_HTT_Net,63,0.5088516746411483,0.30474917239623117,0.0,0.35024350649350644,0.5640040106951871,0.35416666666666663,0.4431818181818182,0.0,0.5568181818181301,1.5,0.0,0.2336752414703369,,,,
NASA_Milling,B4_HTT_Net,73,0.5393540669856459,0.35054478330407124,0.0,0.5020434609250398,0.5495908889871738,0.4925480769230769,0.5893939393939394,0.04772727272726815,0.3628787878787479,2.25,0.5,0.279703576117754,,,,
NASA_Milling,B4_HTT_Net,83,0.5425119617224881,0.34409483490365844,0.0,0.5397249809014514,0.49255952380952384,0.5104166666666666,0.7045454545454546,0.02272727272727065,0.27272727272724795,1.25,0.0,0.26978960260748863,,,,
NASA_Milling,B4_HTT_Net,93,0.5766028708133971,0.3773337476936548,0.0,0.6109250398724083,0.5210762032085561,0.5520833333333333,0.7863636363636364,0.02272727272727065,0.19090909090907263,2.0,1.0,0.24669759348034856,,,,
