Split_type,Task,Seed,Phase,Score,q_prior_weakening,eta,fine_weight,temperature,mid_floor,early_tau,late_tau,order_blend,prior_sigma,true_dist_E,true_dist_M,true_dist_L,pred_dist_E,pred_dist_M,pred_dist_L,distribution_l1_penalty,min_pred_ratio,n_eval,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Early_recall,Middle_recall,Late_recall
case_split,CSP1,2026,random160,0.3231167800422809,False,0.85,0.1,1.0,0.01,0.4,0.7,0.03,0.45,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.3003710127941882,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.32494384140988175,False,0.9,0.03,1.2,0.0,0.4,0.75,0.08,0.45,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.2775327456991769,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.32490938520114987,False,0.92,0.03,1.2,0.005,0.25,0.55,0.1,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.27796344830832553,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.3213210327540665,False,0.98,0.15,1.0,0.0,0.45,0.6,0.0,0.55,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.32281785389686823,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.3249176401009119,False,0.9,0.05,1.2,0.005,0.3,0.7,0.1,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.27786026206130054,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.36191838977770807,False,0.85,0.05,2.0,0.01,0.4,0.65,0.1,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4722222222222222,0.4166666666666667,0.2777777777777778,0.1111111111111111,36,B12,0.6111111111111112,0.5882597340930675,0.5888888888888889,0.46153846153846156,0.5625,0.7407407407407408,0.3333333333333333,0.6,0.8333333333333334,0.5294117647058824,0.06666666666666667,0.3333333333333333,0.6666666666666666,0.16666666666666666,0,0,0.1954705076456957,3,0.3333333333333333,0.6,0.8333333333333334
case_split,CSP1,2026,random160,0.33154922989195,False,0.95,0.1,2.0,0.0,0.25,0.55,0.08,0.45,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.19496538967332397,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.33126999564744597,False,0.98,0.0,2.0,0.005,0.3,0.75,0.05,0.55,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.19845581772962456,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.32493212088906165,False,0.85,0.1,1.2,0.005,0.3,0.75,0.0,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.27767925220942835,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.3254565446366145,False,0.85,0.05,1.2,0.01,0.3,0.6,0.1,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.27112395536501777,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.36179910722792036,False,0.95,0.03,2.0,0.0,0.3,0.7,0.1,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4722222222222222,0.4166666666666667,0.2777777777777778,0.1111111111111111,36,B12,0.6111111111111112,0.5882597340930675,0.5888888888888889,0.46153846153846156,0.5625,0.7407407407407408,0.3333333333333333,0.6,0.8333333333333334,0.5294117647058824,0.06666666666666667,0.3333333333333333,0.6666666666666666,0.16666666666666666,0,0,0.19696153951804268,3,0.3333333333333333,0.6,0.8333333333333334
case_split,CSP1,2026,random160,0.33104447314682667,False,0.98,0.03,2.0,0.005,0.25,0.75,0.0,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.20127484898736542,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.32463079898865393,False,0.92,0.15,1.2,0.01,0.35,0.6,0.03,0.45,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.28144577596452486,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.36197697105372934,False,0.92,0.0,2.0,0.01,0.4,0.65,0.1,0.55,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4722222222222222,0.4166666666666667,0.2777777777777778,0.1111111111111111,36,B12,0.6111111111111112,0.5882597340930675,0.5888888888888889,0.46153846153846156,0.5625,0.7407407407407408,0.3333333333333333,0.6,0.8333333333333334,0.5294117647058824,0.06666666666666667,0.3333333333333333,0.6666666666666666,0.16666666666666666,0,0,0.19473824169543044,3,0.3333333333333333,0.6,0.8333333333333334
case_split,CSP1,2026,random160,0.3218128149534671,False,0.95,0.03,1.0,0.01,0.45,0.6,0.03,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.31667057640436086,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.3560246658447348,False,0.9,0.05,2.0,0.0,0.25,0.65,0.0,0.55,0.25,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.4722222222222222,0.4444444444444444,0.3333333333333333,0.08333333333333333,36,B12,0.6111111111111112,0.5922619047619048,0.5888888888888889,0.5,0.5625,0.7142857142857143,0.3333333333333333,0.6,0.8333333333333334,0.5294117647058824,0.0,0.4,0.6666666666666666,0.16666666666666666,0,0,0.19681469281383088,3,0.3333333333333333,0.6,0.8333333333333334
case_split,CSP1,2026,random160,0.3219989647743848,False,0.95,0.0,1.0,0.005,0.25,0.65,0.05,0.45,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.314343703642889,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
