Split_type,Task,Seed,Train_cases,Validation_cases,Test_cases,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Window length,Top_k,Config,Best_validation_score
case_split,CSP1,2026,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",B9,0.5384615384615384,0.5712682379349046,0.6948051948051948,0.6666666666666666,0.45454545454545453,0.5925925925925926,1.0,0.35714285714285715,0.7272727272727273,0.625,0.07142857142857142,0.5714285714285714,0.0,0.2727272727272727,0,0,0.1461782165887681,3,5,30,small_L5_k30,0.4148295873001734
case_split,CSP1,2026,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",B10,0.5,0.4179246566027472,0.4023125996810208,0.3333333333333333,0.6046511627906976,0.3157894736842105,0.25,0.6842105263157895,0.2727272727272727,0.5416666666666666,0.05263157894736842,0.2631578947368421,0.75,0.7272727272727273,1,0,0.056260709961255394,3,3,20,tiny_L3_k20,0.41555557156353407
case_split,CSP1,2026,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",B11,0.7058823529411765,0.7018518518518521,0.7480063795853269,0.8,0.7500000000000001,0.5555555555555556,1.0,0.7894736842105263,0.45454545454545453,0.7142857142857143,0.10526315789473684,0.10526315789473684,0.0,0.5454545454545454,2,0,0.3315199170261621,3,3,20,b11_tiny_L3_k20,0.45893678920379916
case_split,CSP1,2026,"1,2,4,5,6,7,8,13,14","9,10,11","3,12,15,16",B12,0.7058823529411765,0.6873015873015874,0.7352472089314195,0.8,0.761904761904762,0.5000000000000001,1.0,0.8421052631578947,0.36363636363636365,0.6956521739130435,0.10526315789473684,0.05263157894736842,0.0,0.6363636363636364,1,0,0.18337260542317907,3,3,20,b11_tiny_L3_k20,0.38569320745096364
case_split,CSP2,2026,"1,2,5,6,7,8,13,14,15","9,10,11","3,4,12,16",B9,0.5294117647058824,0.4841269841269842,0.54,0.5,0.6190476190476191,0.33333333333333337,0.5,0.52,0.6,0.7647058823529411,0.08,0.4,0.5,0.4,0,0,0.19714483444889386,3,3,20,tiny_L3_k20,0.44374815095499043
case_split,CSP2,2026,"1,2,5,6,7,8,13,14,15","9,10,11","3,4,12,16",B10,0.5333333333333333,0.4128056628056627,0.5884057971014492,0.25,0.7027027027027025,0.28571428571428575,1.0,0.5652173913043478,0.2,0.9285714285714286,0.391304347826087,0.043478260869565216,0.0,0.2,0,1,0.008324558918292705,3,4,30,small_L4_k30,0.48663378024565906
case_split,CSP2,2026,"1,2,5,6,7,8,13,14,15","9,10,11","3,4,12,16",B11,0.7058823529411765,0.6575757575757576,0.7433333333333335,0.6666666666666665,0.7727272727272727,0.5333333333333333,0.75,0.68,0.8,0.8947368421052632,0.08,0.24,0.25,0.2,1,0,0.28116022441536187,3,3,20,b11_tiny_L3_k20,0.6055764455167849
case_split,CSP2,2026,"1,2,5,6,7,8,13,14,15","9,10,11","3,4,12,16",B12,0.7058823529411765,0.6575757575757576,0.7433333333333335,0.6666666666666665,0.7727272727272727,0.5333333333333333,0.75,0.68,0.8,0.8947368421052632,0.08,0.24,0.25,0.2,1,0,0.16706895655016438,3,3,20,b11_tiny_L3_k20,0.527161513914791
case_split,CSP3,2026,"2,4,5,7,8,9,13,14,15,16","3,10,12","1,6,11",B9,0.35294117647058826,0.2578347578347578,0.43478260869565216,0.0,0.3888888888888889,0.3846153846153846,0.0,0.30434782608695654,1.0,0.5384615384615384,0.0,0.6956521739130435,1.0,0.0,0,0,0.15404938074061647,2,4,30,small_L4_k30,0.5821866391377979
case_split,CSP3,2026,"2,4,5,7,8,9,13,14,15,16","3,10,12","1,6,11",B10,0.29411764705882354,0.1761904761904762,0.19710144927536233,0.0,0.42857142857142855,0.1,0.0,0.391304347826087,0.2,0.47368421052631576,0.0,0.6086956521739131,1.0,0.8,2,0,0.233351472299546,2,4,30,small_L4_k30,0.644558792641508
case_split,CSP3,2026,"2,4,5,7,8,9,13,14,15,16","3,10,12","1,6,11",B11,0.3888888888888889,0.42207792207792205,0.5452898550724637,0.5454545454545454,0.36363636363636365,0.3571428571428571,0.375,0.2608695652173913,1.0,0.6,0.0,0.7391304347826086,0.5,0.0,1,0,0.27117273523746166,3,3,20,b11_tiny_L3_k20,0.6402067627101177
case_split,CSP3,2026,"2,4,5,7,8,9,13,14,15,16","3,10,12","1,6,11",B12,0.3888888888888889,0.422922030765168,0.5452898550724637,0.5454545454545454,0.3529411764705882,0.37037037037037035,0.375,0.2608695652173913,1.0,0.5454545454545454,0.0,0.7391304347826086,0.625,0.0,0,0,0.15844041298526332,3,3,20,b11_tiny_L3_k20,0.5486884161605488
case_split,CSP4,2026,"1,4,5,6,8,12,13,14,15","9,10,11","2,3,7,16",B9,0.3,0.26364764267990076,0.58,0.15384615384615385,0.3870967741935484,0.25,1.0,0.24,0.5,1.0,0.36,0.4,0.0,0.0,1,1,0.14861701436054248,3,4,30,small_L4_k30,0.3080248331291392
case_split,CSP4,2026,"1,4,5,6,8,12,13,14,15","9,10,11","2,3,7,16",B10,0.3,0.24230540701128933,0.51,0.18181818181818182,0.4117647058823529,0.13333333333333333,1.0,0.28,0.25,0.7777777777777778,0.32,0.4,0.0,0.5,2,0,0.01647831041079301,3,4,30,small_L4_k30,0.5012505929637989
case_split,CSP4,2026,"1,4,5,6,8,12,13,14,15","9,10,11","2,3,7,16",B11,0.23333333333333334,0.2039884135472371,0.48333333333333334,0.11764705882352941,0.3125,0.18181818181818182,1.0,0.2,0.25,0.7142857142857143,0.56,0.24,0.0,0.5,2,2,0.18693628262441891,3,4,30,b11_small_L4_k30_qweak,0.4981249786520503
case_split,CSP4,2026,"1,4,5,6,8,12,13,14,15","9,10,11","2,3,7,16",B12,0.26666666666666666,0.22348484848484848,0.49666666666666665,0.125,0.36363636363636365,0.18181818181818182,1.0,0.24,0.25,0.75,0.52,0.24,0.0,0.5,2,1,0.0957811345887983,3,4,30,b11_small_L4_k30_qweak,0.4607424190418604
