proxy,score,acc,f1,middle_recall,middle_to_late_rate,ratio_penalty,q_RMSE,q_R2,arch_name
C1->C4,0.028443945691377398,0.9771241830065359,0.9760664543031004,1.0,0.0,0.039215686274509776,0.1775467691421131,0.3284929100263899,L10_drop0p1_lr0p001_ch16-32-32
C4->C1,0.252298432698187,0.545751633986928,0.41195629767058334,1.0,0.0,0.6797385620915033,0.23718879664852427,-0.2153923682287624,L10_drop0p1_lr0p001_ch16-32-32
C1->C4,0.0479293758649725,0.9342105263157895,0.9349703078606032,1.0,0.0,0.13157894736842105,0.15882479145912778,0.45889124333389464,L12_drop0p1_lr0p001_ch16-32-32
C4->C1,0.1983587116544615,0.6875,0.5667631680527775,1.0,0.0,0.5263157894736841,0.2689160893081379,-0.5835620111941826,L12_drop0p1_lr0p001_ch16-32-32
C1->C4,0.03432300345476766,0.9634551495016611,0.9623119980392913,1.0,0.0,0.059800664451827246,0.17724923230371228,0.32035273577916745,L15_drop0p15_lr0p001_ch16-32-32
C4->C1,0.19662817121756296,0.6777408637873754,0.5741282252193677,1.0,0.0,0.5116279069767442,0.2876487868519558,-0.8378872920193445,L15_drop0p15_lr0p001_ch16-32-32
C1->C4,0.07887032964275184,0.8823529411764706,0.8787858340489919,1.0,0.0,0.23529411764705882,0.20331494037352757,0.11943049395584793,L10_drop0p15_lr0p001_ch32-64-64
C4->C1,0.22057353170487623,0.6633986928104575,0.514007403078122,1.0,0.0,0.5620915032679739,0.31624402082249864,-1.1605922189085498,L10_drop0p15_lr0p001_ch32-64-64
C1->C4,0.039636800433847305,0.9539473684210527,0.9539765654435485,1.0,0.0,0.08552631578947367,0.17867783899997583,0.3151596237938036,L12_drop0p2_lr0p001_ch32-64-64
C4->C1,0.19411868736467813,0.6875,0.5963262927548642,0.9823008849557522,0.0,0.48684210526315785,0.2858451765632849,-0.7892179118418832,L12_drop0p2_lr0p001_ch32-64-64
C1->C4,0.03902734927821942,0.9534883720930233,0.9543708612208871,1.0,0.0,0.09302325581395351,0.1645727388576678,0.41409036339214356,L15_drop0p2_lr0p001_ch32-64-64
C4->C1,0.18546094600685575,0.6943521594684385,0.6027667428120359,1.0,0.0,0.4916943521594685,0.2714930945072853,-0.6372362686802013,L15_drop0p2_lr0p001_ch32-64-64
