epoch,train_loss,val_loss,val_score,val_acc,val_f1,val_middle_recall,val_middle_to_late_rate,val_q_RMSE,val_q_R2
1,1.6139883402905433,1.6951915968477336,0.27881072006792573,0.5163398692810458,0.38375363053801115,0.9823008849557522,0.0,0.22260020519744966,-0.07048178567134955
2,1.3681350050408856,1.5732069327161202,0.2249376001238302,0.7026143790849673,0.5449533502968618,0.9734513274336283,0.0,0.23718879664852427,-0.2153923682287624
3,1.0556747040717431,1.568313193477057,0.236669328264983,0.6601307189542484,0.5130123110487766,0.9734513274336283,0.0,0.27175485574063335,-0.5954484894128365
4,0.7716729972097609,1.8145448117474325,0.24670641616146466,0.6111111111111112,0.47863247863247865,0.9734513274336283,0.0,0.31473787144348403,-1.1400610770043604
5,0.5400939311077392,2.1588843476538564,0.2664064765486842,0.5686274509803921,0.43381389252948893,0.9734513274336283,0.0,0.31845918759494574,-1.1909664493491707
6,0.4473561798435411,2.307103453118817,0.2605122172197662,0.5816993464052288,0.44543227437964283,0.9734513274336283,0.0,0.29437173985622733,-0.8720627028632104
7,0.3784637116139231,2.313337647057826,0.26090361282389574,0.5915032679738562,0.4544860744822438,0.9646017699115044,0.0,0.2971285121345291,-0.9072903784591213
8,0.31640459373106367,2.431815359327528,0.28380336560183944,0.5816993464052288,0.4552661723036113,0.911504424778761,0.061946902654867256,0.29280203816145633,-0.8521508377660743
9,0.31430170056866663,2.4452240295659484,0.2600938954310698,0.5849673202614379,0.4484352773826458,0.9734513274336283,0.0,0.29919753097827234,-0.933945237123172
10,0.2934730411355012,2.3727544117597192,0.24926279681555497,0.6274509803921569,0.4845119812974869,0.9734513274336283,0.0,0.29911665656764724,-0.9328998705921399
11,0.28407268021620957,2.5279989912619,0.2598153877343579,0.5849673202614379,0.4484352773826458,0.9734513274336283,0.0,0.2964124540111535,-0.8981085930870205
12,0.2732708403487611,2.5107273634742286,0.25609190552746686,0.5980392156862745,0.4596525864482195,0.9734513274336283,0.0,0.2928295591389639,-0.8524990279452669
13,0.2518140384379555,2.500599378074696,0.2546458764265477,0.6045751633986928,0.46525419160062537,0.9734513274336283,0.0,0.2951740835869896,-0.8822816509290177
14,0.26550836948787465,2.6207534986383774,0.260494522101282,0.5816993464052288,0.44556536359815047,0.9734513274336283,0.0,0.2945940563269084,-0.8748914223019937
15,0.24389013141588448,2.60650904973348,0.2589207572653877,0.5882352941176471,0.4512917659478952,0.9734513274336283,0.0,0.29603561501719966,-0.8932854040306384
16,0.2427255412916732,2.6092168271931167,0.26254427114226064,0.5849673202614379,0.4489514348785872,0.9646017699115044,0.0,0.2969311765072084,-0.904757795120827
17,0.2258671802632949,2.6740767846699636,0.2608609438144252,0.5784313725490197,0.44268171915230736,0.9734513274336283,0.0,0.28960734012081124,-0.811954513923576
18,0.22590463895813312,2.7505369092903886,0.26227171116705333,0.5718954248366013,0.43717642373556354,0.9734513274336283,0.0,0.28719912739686093,-0.7819454029554211
19,0.22286183820440877,2.734669305140676,0.261340645922935,0.5751633986928104,0.4399301004805592,0.9734513274336283,0.0,0.2861495051906642,-0.7689443073258846
20,0.23502898089636384,2.619233555263943,0.26261873710762085,0.5816993464052288,0.44610200930406946,0.9646017699115044,0.0,0.28912755943725776,-0.8059559043982076
