epoch,train_loss,val_loss,val_score,val_acc,val_f1,val_middle_recall,val_middle_to_late_rate,val_q_RMSE,val_q_R2
1,1.4647476113572413,1.2048107007193187,0.019295344685091434,1.0,1.0,1.0,0.0,0.1929534468509143,0.10831948725209206
2,0.8390436294127483,0.4721859523228237,0.014645277589845207,1.0,1.0,1.0,0.0,0.14645277589845207,0.48631201367495325
3,0.4927967683393128,0.3086435922554561,0.011323629401047433,1.0,1.0,1.0,0.0,0.11323629401047432,0.6929030606840691
4,0.3265622696098016,0.20307267421767825,0.009633345129236862,1.0,1.0,1.0,0.0,0.09633345129236862,0.7777414723794744
5,0.23821111388352453,0.17318119226940096,0.008966603374088966,1.0,1.0,1.0,0.0,0.08966603374088966,0.807442644537396
6,0.21662900095083276,0.13672161409779202,0.009941745004228418,1.0,1.0,1.0,0.0,0.09941745004228417,0.7632830084083357
7,0.22404301501050286,0.18727211535923063,0.009930071013210416,1.0,1.0,1.0,0.0,0.09930071013210415,0.7638386069610575
8,0.17055156530470264,0.12280212768486568,0.011053713752717728,1.0,1.0,1.0,0.0,0.11053713752717728,0.7073688047986563
9,0.16722088109473793,0.35882601851508733,0.010816603800670566,1.0,1.0,1.0,0.0,0.10816603800670566,0.7197884464453385
10,0.13704865243361922,0.19083667842168656,0.010305017187619345,1.0,1.0,1.0,0.0,0.10305017187619345,0.7456676323362623
11,0.12977896934869337,0.1627357904873197,0.009809872395105407,1.0,1.0,1.0,0.0,0.09809872395105407,0.7695212394677297
12,0.1222752712819041,0.14800126022762722,0.009838626796678572,1.0,1.0,1.0,0.0,0.0983862679667857,0.7681681144918158
13,0.11885058773415429,0.1936581986291068,0.011352364761800817,1.0,1.0,1.0,0.0,0.11352364761800816,0.6913424765630662
14,0.1245501536343779,0.19185568605150496,0.012549496021655754,1.0,1.0,1.0,0.0,0.12549496021655754,0.6228129585633086
15,0.1036600513117654,0.19970264652418712,0.011180817386796616,1.0,1.0,1.0,0.0,0.11180817386796615,0.7006003405845458
16,0.0893801884079466,0.19792673275584266,0.014149872684847856,1.0,1.0,1.0,0.0,0.14149872684847856,0.5204772040386588
17,0.09646416257838814,0.13964475525750053,0.010845695652208703,1.0,1.0,1.0,0.0,0.10845695652208702,0.7182791306709507
18,0.07786751766594088,0.1878002125119406,0.012604038287840666,1.0,1.0,1.0,0.0,0.12604038287840666,0.6195271944042382
19,0.07004951731282838,0.17328614114768923,0.01323232208848855,1.0,1.0,1.0,0.0,0.1323232208848855,0.5806503157350438
20,0.06954479468416194,0.17652212343518697,0.01285697038625818,1.0,1.0,1.0,0.0,0.1285697038625818,0.6041036657271812
21,0.07226663812690852,0.1361309862326062,0.011490476267273932,1.0,1.0,1.0,0.0,0.11490476267273932,0.6837866119080264
22,0.07621250377625835,0.2042287980753278,0.012216235746771211,1.0,1.0,1.0,0.0,0.1221623574677121,0.6425798740939273
23,0.08352514523632672,0.1594882538867375,0.011501091233527985,1.0,1.0,1.0,0.0,0.11501091233527984,0.683202102652548
