Metric,Mean,Std,Min,Max,N
Acc,0.5176237623762378,0.11604437526094478,0.08,0.76,101
Macro-F1,0.2914780741429405,0.08389951545947305,0.0634920634920634,0.5064102564102564,101
E-F1,0.0,0.0,0.0,0.0,101
M-F1,0.3333677281996082,0.2663645594781638,0.0,0.7692307692307693,101
L-F1,0.5410664942292136,0.2380128741299908,0.0,0.8387096774193549,101
M-Precision,0.38183473068669094,0.312906913545392,0.0,1.0,101
M-Recall,0.39153915391539146,0.37033435289628713,0.0,1.0,101
M_to_E,0.06840684068406219,0.16584665853665367,0.0,0.6363636363635785,101
M_to_L,0.540054005400491,0.36314097669507545,0.0,0.9999999999999092,101
Rev,1.2376237623762376,1.0876443798547866,0.0,4.0,101
Jump,0.45544554455445546,1.2451887605921244,0.0,7.0,101
Smooth,0.044350190553045704,0.06342459535873542,0.0058170743286609,0.318152624531649,101
q-MAE,0.22961757026699398,0.012430774380920388,0.1943781349984153,0.2541527657273176,101
q-RMSE,0.27627091308617746,0.017762129324164388,0.2231362792540234,0.3107685450251143,101
q-R2,-0.24403526062058947,0.15604132873266474,-0.5676991048882569,0.1917811495250789,101
Spearman,0.13086062452399086,0.33138295991174077,-0.733076923076923,0.7707692307692308,101
