Task,Seed,status
N1,0,DONE
N1,1,DONE
N1,2,DONE
N1,3,DONE
N1,4,DONE
N1,5,DONE
N1,6,DONE
N1,7,DONE
N1,8,DONE
N1,9,DONE
N1,10,DONE
N1,11,DONE
N1,12,DONE
N1,13,DONE
N1,14,DONE
N1,15,DONE
N1,16,DONE
N1,17,DONE
N1,18,DONE
N1,19,DONE
N1,20,DONE
N1,21,DONE
N1,22,DONE
N1,23,DONE
N1,24,DONE
N1,25,DONE
N1,26,DONE
N1,27,DONE
N1,28,DONE
N1,29,DONE
N1,30,DONE
N1,31,DONE
N1,32,DONE
N1,33,DONE
N1,34,DONE
N1,35,DONE
N1,36,DONE
N1,37,DONE
N1,38,DONE
N1,39,DONE
N1,40,DONE
N1,41,DONE
N1,42,DONE
N1,43,DONE
N1,44,DONE
N1,45,DONE
N1,46,DONE
N1,47,DONE
N1,48,DONE
N1,49,DONE
N1,50,DONE
N1,51,DONE
N1,52,DONE
N1,53,DONE
N1,54,DONE
N1,55,DONE
N1,56,DONE
N1,57,DONE
N1,58,DONE
N1,59,DONE
N1,60,DONE
N1,61,DONE
N1,62,DONE
N1,63,DONE
N1,64,DONE
N1,65,DONE
N1,66,DONE
N1,67,DONE
N1,68,DONE
N1,69,DONE
N1,70,DONE
N1,71,DONE
N1,72,DONE
N1,73,DONE
N1,74,DONE
N1,75,DONE
N1,76,DONE
N1,77,DONE
N1,78,DONE
N1,79,DONE
N1,80,DONE
N1,81,DONE
N1,82,DONE
N1,83,DONE
N1,84,DONE
N1,85,DONE
N1,86,DONE
N1,87,DONE
N1,88,DONE
N1,89,DONE
N1,90,DONE
N1,91,DONE
N1,92,DONE
N1,93,DONE
N1,94,DONE
N1,95,DONE
N1,96,DONE
N1,97,DONE
N1,98,DONE
N1,99,DONE
N1,100,DONE
N2,0,DONE
N2,1,DONE
N2,2,DONE
N2,3,DONE
N2,4,DONE
N2,5,DONE
N2,6,DONE
N2,7,DONE
N2,8,DONE
N2,9,DONE
N2,10,DONE
N2,11,DONE
N2,12,DONE
N2,13,DONE
N2,14,DONE
N2,15,DONE
N2,16,DONE
N2,17,DONE
N2,18,DONE
N2,19,DONE
N2,20,DONE
N2,21,DONE
N2,22,DONE
N2,23,DONE
N2,24,DONE
N2,25,DONE
N2,26,DONE
N2,27,DONE
N2,28,DONE
N2,29,DONE
N2,30,DONE
N2,31,DONE
N2,32,DONE
N2,33,DONE
N2,34,DONE
N2,35,DONE
N2,36,DONE
N2,37,DONE
N2,38,DONE
N2,39,DONE
N2,40,DONE
N2,41,DONE
N2,42,DONE
N2,43,DONE
N2,44,DONE
N2,45,DONE
N2,46,DONE
N2,47,DONE
N2,48,DONE
N2,49,DONE
N2,50,DONE
N2,51,DONE
N2,52,DONE
N2,53,DONE
N2,54,DONE
N2,55,DONE
N2,56,DONE
N2,57,DONE
N2,58,DONE
N2,59,DONE
N2,60,DONE
N2,61,DONE
N2,62,DONE
N2,63,DONE
N2,64,DONE
N2,65,DONE
N2,66,DONE
N2,67,DONE
N2,68,DONE
N2,69,DONE
N2,70,DONE
N2,71,DONE
N2,72,DONE
N2,73,DONE
N2,74,DONE
N2,75,DONE
N2,76,DONE
N2,77,DONE
N2,78,DONE
N2,79,DONE
N2,80,DONE
N2,81,DONE
N2,82,DONE
N2,83,DONE
N2,84,DONE
N2,85,DONE
N2,86,DONE
N2,87,DONE
N2,88,DONE
N2,89,DONE
N2,90,DONE
N2,91,DONE
N2,92,DONE
N2,93,DONE
N2,94,DONE
N2,95,DONE
N2,96,DONE
N2,97,DONE
N2,98,DONE
N2,99,DONE
N2,100,DONE
N3,0,DONE
N3,1,DONE
N3,2,DONE
N3,3,DONE
N3,4,DONE
N3,5,DONE
N3,6,DONE
N3,7,DONE
N3,8,DONE
N3,9,DONE
N3,10,DONE
N3,11,DONE
N3,12,DONE
N3,13,DONE
N3,14,DONE
N3,15,DONE
N3,16,DONE
N3,17,DONE
N3,18,DONE
N3,19,DONE
N3,20,DONE
N3,21,DONE
N3,22,DONE
N3,23,DONE
N3,24,DONE
N3,25,DONE
N3,26,DONE
N3,27,DONE
N3,28,DONE
N3,29,DONE
N3,30,DONE
N3,31,DONE
N3,32,DONE
N3,33,DONE
N3,34,DONE
N3,35,DONE
N3,36,DONE
N3,37,DONE
N3,38,DONE
N3,39,DONE
N3,40,DONE
N3,41,DONE
N3,42,DONE
N3,43,DONE
N3,44,DONE
N3,45,DONE
N3,46,DONE
N3,47,DONE
N3,48,DONE
N3,49,DONE
N3,50,DONE
N3,51,DONE
N3,52,DONE
N3,53,DONE
N3,54,DONE
N3,55,DONE
N3,56,DONE
N3,57,DONE
N3,58,DONE
N3,59,DONE
N3,60,DONE
N3,61,DONE
N3,62,DONE
N3,63,DONE
N3,64,DONE
N3,65,DONE
N3,66,DONE
N3,67,DONE
N3,68,DONE
N3,69,DONE
N3,70,DONE
N3,71,DONE
N3,72,DONE
N3,73,DONE
N3,74,DONE
N3,75,DONE
N3,76,DONE
N3,77,DONE
N3,78,DONE
N3,79,DONE
N3,80,DONE
N3,81,DONE
N3,82,DONE
N3,83,DONE
N3,84,DONE
N3,85,DONE
N3,86,DONE
N3,87,DONE
N3,88,DONE
N3,89,DONE
N3,90,DONE
N3,91,DONE
N3,92,DONE
N3,93,DONE
