Metric,Mean,Std,Min,Max,N
Acc,0.5472547254725472,0.137257794503749,0.0909090909090909,0.8181818181818182,101
Macro-F1,0.320392885505407,0.09826230550242411,0.0888888888888888,0.5454545454545455,101
E-F1,0.0,0.0,0.0,0.0,101
M-F1,0.3811470052351392,0.27488988682077753,0.0,0.8181818181818182,101
L-F1,0.580031651281082,0.21216867633701583,0.0,0.8275862068965517,101
M-Precision,0.4897398273321701,0.3345020285653013,0.0,1.0,101
M-Recall,0.41881188118811874,0.37408899243017796,0.0,1.0,101
M_to_E,0.07722772277226951,0.191249150648454,0.0,0.89999999999991,101
M_to_L,0.5039603960395536,0.36357139383594955,0.0,0.9999999999999,101
Rev,1.4752475247524752,1.1627042565153063,0.0,5.0,101
Jump,0.5148514851485149,1.4395406307995522,0.0,7.0,101
Smooth,0.06593030813347257,0.06771170493484305,0.00651682416598,0.2817016892312538,101
q-MAE,0.23714792205235327,0.01162217645970012,0.2041593827412496,0.2558185068474505,101
q-RMSE,0.2808873523687539,0.019218575722487575,0.2308189703011788,0.3118913637775459,101
q-R2,-0.1605154782015035,0.15436149524347734,-0.4242457453981765,0.219952174413632,101
Spearman,0.13215669393026264,0.33008444248725655,-0.6544325239977415,0.7560700169395823,101
