Metric,Mean,Std,Min,Max,N
Acc,0.44940816501489605,,0.44940816501489605,0.44940816501489605,1
Macro-F1,0.37834859985590935,,0.37834859985590935,0.37834859985590935,1
E-F1,0.6183375394136129,,0.6183375394136129,0.6183375394136129,1
M-F1,0.25123074250268435,,0.25123074250268435,0.25123074250268435,1
L-F1,0.26547751765143074,,0.26547751765143074,0.26547751765143074,1
M-Precision,0.4912668005178132,,0.4912668005178132,0.4912668005178132,1
M-Recall,0.2211754381703517,,0.2211754381703517,0.2211754381703517,1
M_to_E,0.6416043027012619,,0.6416043027012619,0.6416043027012619,1
M_to_L,0.13722025912838634,,0.13722025912838634,0.13722025912838634,1
Rev,14.666666666666666,,14.666666666666666,14.666666666666666,1
Jump,2.0,,2.0,2.0,1
Smooth,0.028202059876332137,,0.028202059876332137,0.028202059876332137,1
q-MAE,0.1498412316304187,,0.1498412316304187,0.1498412316304187,1
q-RMSE,0.2046109761749595,,0.2046109761749595,0.2046109761749595,1
q-R2,-0.06575633560803701,,-0.06575633560803701,-0.06575633560803701,1
Spearman,0.5541473784693353,,0.5541473784693353,0.5541473784693353,1
