Stage,Precision,Recall,F1-score,Support
early,0.9655172413793104,1.0,0.9824561403508771,84
middle,0.9921259842519685,0.9767441860465116,0.984375,129
late,1.0,0.989010989010989,0.994475138121547,91
Accuracy,,,0.9868421052631579,304
Macro avg,0.9858810752104263,0.9885850583525002,0.9871020928241414,304
