Metric,Mean,Std,Min,Max,N
Acc,0.5410789153638124,0.03659333290027642,0.4584260133459218,0.5777571970363732,10
Macro-F1,0.3455287541302595,0.033759661362338274,0.2978609625668449,0.3864104849398967,10
E-F1,0.0,0.0,0.0,0.0,10
M-F1,0.3207350826151536,0.08909127318895975,0.2232142857142857,0.5102495543672014,10
L-F1,0.7158511797756247,0.1387534946652908,0.3833333333333333,0.813420181968569,10
M-Precision,0.529964224820363,0.16275255148182732,0.30833333333333335,0.825,10
M-Recall,0.29791666666666666,0.13583960406804765,0.1893939393939394,0.6666666666666666,10
M_to_E,0.3704545454545129,0.0998960024473806,0.14583333333332119,0.4412878787878398,10
M_to_L,0.3316287878787519,0.0656228667403344,0.1874999999999774,0.44696969696965005,10
Rev,1.55,0.4216370213557839,0.75,2.25,10
Jump,1.975,0.415832498329155,1.25,2.75,10
Smooth,0.2664354533684673,0.0830344643316372,0.1259411180799361,0.38548923656344414,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
