Metric,Mean,Std,Min,Max,N
Acc,0.5454545454545454,0.04285495643554836,0.4545454545454545,0.5909090909090909,10
Macro-F1,0.33669454619454614,0.05187253771800652,0.2222222222222222,0.3897435897435897,10
E-F1,0.0,0.0,0.0,0.0,10
M-F1,0.298562271062271,0.1593034872714948,0.1428571428571428,0.6666666666666666,10
L-F1,0.7115213675213675,0.2541494744600658,0.0,0.8461538461538461,10
M-Precision,0.7849999999999999,0.25073349188055694,0.3333333333333333,1.0,10
M-Recall,0.24545454545454543,0.27457287975937683,0.0909090909090909,1.0,10
M_to_E,0.36363636363633056,0.1484539238050276,0.0,0.4545454545454132,10
M_to_L,0.3909090909090553,0.1424564760429344,0.0,0.4545454545454132,10
Rev,2.5,1.2692955176439846,0.0,4.0,10
Jump,2.4,0.9660917830792958,0.0,3.0,10
Smooth,0.33515831863041967,0.12054134542306598,0.0015331839676946,0.4254922866821289,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
