raw_component,ordered_fine_state,mean_q_train,mapped_stage_id,mapped_stage
2,0,0.12703718196688749,0,early
1,1,0.3559756864106209,1,middle
4,2,0.515350204641355,1,middle
3,3,0.5432888091530927,1,middle
0,4,0.8771173953966305,2,late
